Name (click to view profile),Date,Likes,isHearted,isPinned,Comment,(view source)
That person Dats can’t edit,25/12/20 06:18:00,0,no,no,Ummm where is Jake in the comments? No cap he better be somewhere in da comments simpin over her,view comment
Kevin Martinez,25/12/20 06:20:22,0,no,no,The bracelets are not expensive wym? they cost $20...,view comment
Kenia Argueta,25/12/20 06:23:50,1,no,no,creasing the yeezys... u don’t deserve to wear sneakers,view comment
Brianna & Kylie,25/12/20 06:23:55,0,no,no,can yall please adopt me yall are so cute together!!!!,view comment
Hoda Mohamed,25/12/20 06:24:39,1,no,no,I can’t believe they are 17 like I really thought the first time I watch them they were 15 and 16,view comment
Fedi Confetti,25/12/20 06:26:31,0,no,no,"You guys are so cute ! I know you guys are long distance and it can get hard , but stick through it! My boyfriend and I were also long distance , no cars , depending on our parents to take us everywhere and 3 years later now I see him EVERYDAY 😂😂 maybe way too much 😳😂 I promise if you want it you’ll wait for it ! And it will be worth it !",view comment
Astrid Carneiro,25/12/20 06:33:28,0,no,no,The fact tht nat has her boots tag still on it 😂😂😂😂,view comment
Alix Leon,25/12/20 06:33:34,13,no,no,"I’m sorry but I had to say this somewhere but My mom fell today going outside we where going out to give presents and it was raining the house we went to no one was their and leaving she fell face first with my brother in her hands and it was terrifying because all I saw was her back and Yeha , so that happened like two hours ago, sorry I  just had to get that of my chest. MERRY CHRISTMAS 🎄🎁 EVERYONE , God bless you ❤️🙏🏻",view comment
Alix Leon,29/12/20 00:22:59,2,no,no,@Mili Montanez thx 🙏🏻,view comment
Mili Montanez,28/12/20 23:48:40,2,no,no,🙏🙏🙏🙏🙏🙏🙏ill pray for her,view comment
Alix Leon,28/12/20 22:06:11,2,no,no,@Ebonee F she’s felling better but she keeps like walking slowly because her leg hurts but thx ❤️,view comment
Ebonee F,28/12/20 21:31:45,2,no,no,i hope shes okay !!,view comment
Cassidie Delatorre,25/12/20 06:34:20,0,no,no,I love Jakes laugh. No cap 🧢,view comment
That person Dats can’t edit,25/12/20 06:35:10,0,no,no,Waitttttt where’s the pink drink with slightly more strawberry açaí than coconut milk,view comment
Cassandra LuLu,25/12/20 06:35:46,0,no,no,"To any one reading this (and you too nat!) I hope you all have a great holiday/christmas/new start to the year. Although nothing physically might change when we hit 2021 it gives us something to root a new mindset too. This has by far been one of the hardest years for me and many others , and i just want to say even though i don't know you guys just from human to human i am proud of everyone, proud that you have overcome challenges, adapted to new things and learned to live through a global pandemic. Yes covid isn't over and yes you must still wear masks and social distance but give yourselves a pat on the back you have survived so much!! And to Nat, i know we don't know each other personally but i have seen you grow so much and blossom into such an amazing woman , you are so kind hearted and selfless and i aspire to be as successful in all aspects of life as you are! and congrats on doing such an amazing vlogmas this year! It truly has been giving me something to look forward to everyday! Stay safe guys! <3 - @casslulu_arts (on insta!)",view comment
That person Dats can’t edit,25/12/20 06:35:46,0,no,no,"No one:



Jake: ahhyaaayaahh",view comment
That person Dats can’t edit,25/12/20 06:36:43,0,no,no,The bote be hittin different no cappp,view comment
xtrxdev,25/12/20 06:38:46,1,no,no,THE WAY HE LOOKS AT HERRRRRRRRRRRRRRR. I CAN'TTTTTTTTTTT,view comment
Yasmin Hernandez,25/12/20 06:38:49,0,no,no,No jake getting in his feelings when in the car ride,view comment
That person Dats can’t edit,25/12/20 06:39:04,0,no,no,"No one:




Nathaly: keeps tag on her shoe",view comment
Queen Ruthie,25/12/20 06:40:12,1,no,no,you need to blur those adress’ that’s personal information,view comment
Eman Mohamed,25/12/20 06:41:57,1,no,no,"HEY GIRLS you need to find a man like jake  if you don't, don't date anyone ❤️",view comment
katiesedits,25/12/20 06:42:09,0,no,no,nat ima need your playlist,view comment
Marlene Garcia,29/12/20 06:50:22,0,no,no,Hello beautiful stranger! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ I’d really appreciate it,view comment
Trishala,25/12/20 06:43:49,0,no,no,Us manifesting Jake and nathaly to date like 💃💃💃,view comment
Marlene Garcia,29/12/20 06:48:28,0,no,no,Hello beautiful stranger! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ I’d really appreciate it,view comment
Nicole paz,25/12/20 06:44:40,0,no,no,Awwww this was cute !!!,view comment
Chelsey Cochran,25/12/20 06:44:50,0,no,no,WHERE IS THAT BOX FROM OMG 🥺🥺,view comment
Solya Talks,25/12/20 06:45:17,0,no,no,"the looks he gives her are just the best, and the way that he appreciates her and she appreciates him no matter how much ether one of them spend makes me so happy",view comment
Raquel Lewis,25/12/20 06:47:31,0,no,no,nat and jake are bomb idc idc,view comment
LInIX. BTS,25/12/20 06:48:05,1,no,no,Nat really be too comfortable on Youtube that she even puts on her deodorant on camera XDDD,view comment
Ashlyn W. Richards,25/12/20 06:48:34,5,no,no,If my relationship ain’t like theirs ion want it!,view comment
Phoebe Cuadra,25/12/20 06:48:51,17,no,no,Why was jake lowkey most excited for the chocolates 😭😂,view comment
Arianna Gama,25/12/20 06:48:54,1,no,no,Omg you guys are so cute!!😭,view comment
Angelina Davis,25/12/20 06:49:10,1,no,no,"This video literally saved my day, my brother and family has been bugging me all day as if it’s a regular Thursday and not Christmas eve, thank you!❤️",view comment
khamyllia burgess,25/12/20 06:50:22,0,no,no,"nat you can take any size break you want cause

MISS GURL SAID CATCH ME SLACKING POSTING? NO.",view comment
Addison Rae,25/12/20 06:52:39,3,no,no,wow we got a 30 min video we are so blessed 🥲,view comment
yadi,25/12/20 06:54:47,1,no,no,NAT CREASING HER SHOES,view comment
Maddison Kendall,25/12/20 06:58:24,0,no,no,Damn I knew it from the start when you said he’s just a Friend and now you 💞👩‍❤️‍👨,view comment
Sara guzman,25/12/20 06:58:49,1,no,no,not Jake being Miguel from Coco on 11:08,view comment
Xitlali Mcwhinney,25/12/20 07:01:14,1,no,no,I SWEAR YOU GUYS ARE THE CUTEST COUPLE EVER I CANT 💕💕,view comment
editsbyberlin,25/12/20 07:02:10,0,no,no,HOW IS THIS GIRL NOT COPY RIGHTED YET,view comment
Grace ‘s,25/12/20 07:04:09,11,no,no,"Is it just me who can not get over how freaking cute they are, like when they look at each other they smile it is the cutest",view comment
Marlene Garcia,30/12/20 08:57:43,0,no,no,"Hello beautiful person! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ you don’t have to obviously but I’d really appreciate it if you did. Anyways, thank you for reading and have a nice day",view comment
Daniela Brito,25/12/20 07:09:28,1,no,no,the cutest ever 🥺😭❤️,view comment
Paris Patricia,25/12/20 07:09:47,1,no,no,23:40 I get the same thing tell him to ask with extra caramel drizzle🥳 bomb love y’all 💜,view comment
Nirza Castro,25/12/20 07:10:07,0,no,no,Nat is at almost at 500k im excited❤❤❤,view comment
ally,25/12/20 07:10:38,0,no,no,I want someone to look at me the way jake looks at nat,view comment
madison elaine,25/12/20 07:11:00,0,no,no,his smile i cant,view comment
Des La’shae,25/12/20 07:19:46,0,no,no,Omggggg🥺🥺🥺😍😍😍😫!,view comment
kylee Marie,25/12/20 07:19:51,0,no,no,Jake tryna put cologne on secretly: drops is 😂,view comment
Des La’shae,25/12/20 07:19:56,0,no,no,Bruh where is that box at??????,view comment
Kayla Johnson,25/12/20 07:26:32,0,no,no,"can we just mention how she said ""i need to have a full face of makeup before he gets here"" you dont need makeup nat",view comment
Alondra A,25/12/20 07:31:24,0,no,no,2:12 THE NOISE IT MADE GURLLL SKDJSDKBSXOBSODBWDOBS,view comment
Jaquelyn Ramos,25/12/20 07:32:08,0,no,no,Nat2pretty,view comment
Iris Márquez,25/12/20 07:34:35,0,no,no,Am I the only one with a black screen just audio,view comment
Kenzie c,25/12/20 07:35:50,0,no,no,the way he looks at her  i-,view comment
McKenna Osborn,25/12/20 07:37:00,1,no,no,nat looks like a mom watching her kid open his present when jake was opening his gift😂love them,view comment
Grettel Chavez,25/12/20 07:37:36,0,no,no,The 30 min vlog is our Christmas gift 😌❤️,view comment
Eh dah Kee,25/12/20 07:38:11,0,no,no,Whenever he carried her 🥺,view comment
Grettel Chavez,25/12/20 07:41:26,0,no,no,Paz is me playing Rock Paper Scissors by himself 😂,view comment
Ayiana Corona,25/12/20 07:44:27,16,no,no,no cap imma be sad when she not gonna be posting everyday anymore but at least she can rest thank you so much for the vlogams I enjoy them very much,view comment
Grettel Chavez,25/12/20 07:44:46,0,no,no,Wait is the lawn mower for the...😭 period ok,view comment
Miriam Anaya,25/12/20 07:44:57,0,no,no,You guys are so cute 😭😍,view comment
Chanez Bakir,25/12/20 07:51:00,0,no,no,Oh m’y god that was amazing and I just wanna say can you do a video where you show us your playlist,view comment
Alekxa Carrera,25/12/20 07:53:23,0,no,no,Love you nat marry Christmas 🎄,view comment
Karla Velis,25/12/20 07:53:56,0,no,no,wait the cologne thing is so cute!!,view comment
SFN Rub3n,25/12/20 07:54:21,1,no,no,Why can I just have a relationship like there’s😖🥺😞,view comment
monique‘s vlogs,25/12/20 07:54:31,0,no,no,does she have a playlist like i need ittt,view comment
Jazzy Arteaga,25/12/20 07:56:39,0,no,no,"Omg Jake is so right, I feel very offended when a boy calles me the b word. And I just think it’s not funny and they shouldn’t call girls that word",view comment
Shantiiey Nitiiey,25/12/20 07:57:03,0,no,no,Hey Nat where did Jake get that music box thingy?,view comment
Jaymie Lugo,25/12/20 07:57:15,0,no,no,#COUPLEGOALS ❤❤❤,view comment
Kyché Haniya,25/12/20 07:59:22,0,no,no,When you said you are going to look like a baddie . You looked like a BADDIE PLUS ANOTHER BADDIE . If you get it 😂😎,view comment
Daphne Flores,25/12/20 08:00:30,0,no,no,Y’all the cutest asffff😍😍🥺🥺 Love you both 🥰,view comment
Kaitlynn A,25/12/20 08:00:33,1,no,no,The way Jake looks at nat is so cute 🥺,view comment
Grettel Chavez,25/12/20 08:01:28,0,no,no,Cause you’re a bitch😭😭😭 nattt,view comment
kimberly marcial,25/12/20 08:04:37,1,no,no,Idk why I miss her makeup look when she used to fill in her brows🥺,view comment
Maria Chavarria,25/12/20 08:04:39,26,no,no,28:08 she sounds so sad when she said “when he’s gone”,view comment
LullabyCola,25/12/20 08:06:18,4,no,no,When you haven’t had a present in what is now 4 years 🥲,view comment
Marlene Garcia,30/12/20 08:57:04,0,no,no,"Hello beautiful person! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ you don’t have to obviously but I’d really appreciate it if you did. Anyways, thank you for reading and have a nice day",view comment
beary bear o-o,25/12/20 08:09:20,0,no,no,13:49 and 14:04 what are the songs help me outtttt😭😭I love them so much ❤️😭😭,view comment
Lay,31/01/21 18:52:45,0,no,no,1. Mi cuarto,view comment
Samantha,25/12/20 08:24:18,0,no,no,Same can someone comment for us I always here the songs but don’t know what the name of the song only the artist😭,view comment
ashlxgloss,25/12/20 08:19:10,1,no,no,Cute,view comment
Nicholina Alvarez,25/12/20 08:22:31,0,no,no,My mom got that foxybae hair set,view comment
Nayeli Chitic,25/12/20 08:46:12,1,no,no,She's literally the kidness☺ily Nat,view comment
_bitsofeverything_,25/12/20 08:49:42,0,no,no,"Nat:if I don't know the lyrics of this song get out of my car 
Jake:**searches up the lyrics 
Lol....nat I love u and your videos",view comment
genevene,25/12/20 08:58:12,12,no,no,who else thinks they’re soulmates 🥺.,view comment
pineapple queen,25/12/20 09:02:20,0,no,no,Nat's playlist is 🔥,view comment
Sayra Mendoza,25/12/20 09:03:23,5,no,no,13:20 NAT you better put on a ring on this man because If he knows ariana grande hes a keeper,view comment
Simran Bhalla,25/12/20 09:03:34,0,no,no,"They make each other so happy, they areeee sooooo effinnnn adorable together omggg no cappppp🥰🥰🥰",view comment
Brianna Garcia,25/12/20 09:07:30,1,no,no,I want someone to look at me the way Jake looked at nat on 14:30 :((,view comment
Haley Reyes,25/12/20 09:09:07,0,no,no,Did miss girl just learn how to do her eyebrows then don’t even do them,view comment
Valeria Nevarez,25/12/20 09:09:53,3,no,no,“She’s going to flip that shit”😂😂,view comment
Marlene Garcia,30/12/20 08:57:58,0,no,no,"Hello beautiful person! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ you don’t have to obviously but I’d really appreciate it if you did. Anyways, thank you for reading and have a nice day",view comment
Shelsy,25/12/20 09:10:56,0,no,no,AYO NAT DROP THE PLAYLIST,view comment
Marlene Garcia,29/12/20 06:47:48,0,no,no,Hello beautiful stranger! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ I’d really appreciate it,view comment
Zuleyma Chavez,25/12/20 09:11:23,0,no,no,Jake is nats new freaking tripod the entire ride jake was holding the tripod,view comment
Randi Nye,25/12/20 09:12:45,0,no,no,16:16 *the tag is still on her pants*,view comment
Karla D,25/12/20 09:13:52,0,no,no,"Song:”ahora tengo a otras que me lo hacen mejor”

Jake: “ I’m staying quite before the toxica kills me “",view comment
Michelle Ditsch,25/12/20 09:15:58,0,no,no,You two are mad cute together,view comment
Hind Jm,25/12/20 09:16:40,0,no,no,"You’re the best girlfriend Nat,hope you stay happy 🤍🤍",view comment
Rab3kka,25/12/20 09:21:20,0,no,no,Nat has not missed one day ong period 😏,view comment
Alayjah Sleweon,25/12/20 09:23:16,0,no,no,Cutest couple on YouTube!!!,view comment
Kaityln Cruz,25/12/20 09:27:47,2,no,no,we need a playlisttttt bruh !!,view comment
BabyyRho,25/12/20 09:28:49,1,no,no,Where did you get the bracelets from there hella cute?,view comment
naomi alvarez,25/12/20 09:36:16,1,no,no,BYE u guys are so cute,view comment
mattMTV,25/12/20 09:44:06,0,no,no,why no one talking bout the lawnmower?,view comment
Hannah Blythe,25/12/20 09:48:48,0,no,no,the way jacob looks at her is so cute 🥺,view comment
BonticalKxy,25/12/20 09:52:43,0,no,no,Y'all are so cute im literally DIEING,view comment
Shabi Zehra,25/12/20 09:54:59,0,no,no,"U both don't watch money u both buy happiness for each other that's literally so cute I hope u guys both be blessed with more happiness
U both are literally power couple ❤️❤️❤️❤️❤️❤️❤️",view comment
Ruth’s Blessed life,25/12/20 10:02:32,0,no,no,How do you not get copyrighted,view comment
h a o w i e,25/12/20 10:03:05,1,no,no,YALL ARE SO CUTEEE OMGGG 🥺,view comment
M _ch,25/12/20 10:10:37,1,no,no,Finally 30 minutes 🥳🥳🥳🥳🥳🥳,view comment
Yami Figureo,25/12/20 10:23:02,0,no,no,I fell like yu guys are gonna last for a long time . yall a cute couple,view comment
Jamie Molina,25/12/20 10:27:09,0,no,no,What’s jacob zodiac sign,view comment
Sidume Aguirre,25/12/20 10:28:09,0,no,no,Low key am hella drunk watching you’re video,view comment
Anecia Deanna,25/12/20 10:30:27,0,no,no,they way he looks at her kills me !🥺,view comment
Kaylee Carlos,25/12/20 10:32:09,0,no,no,If only somebody could look at me the way jake  looks and admires nat😭,view comment
Karen S,25/12/20 10:34:04,0,no,no,Who else is happy and sad that nat only has one more video🥺 to post for vlogmasss,view comment
Bassant,25/12/20 10:38:26,0,no,no,girl u be caring a lot for jake like u have the money to buy yourself more things but instead you buy for him 🥺,view comment
Keylah Gonzalez,25/12/20 11:00:47,0,no,no,nats voice it’s kinda annoying and squeaky lol,view comment
Esha V,25/12/20 11:01:22,0,no,no,y'all are so cute 🥰. I can't I want a relationship just like nat's and jakes 🥺,view comment
Dejana Jovanovic,25/12/20 11:01:50,0,no,no,13:49 14:02 songs???,view comment
Dejana Jovanovic,31/01/21 22:55:55,0,no,no,@Lay tnx for telling me I already find out,view comment
Lay,31/01/21 18:51:45,0,no,no,1. Mi cuarto,view comment
Yadira Flores,25/12/20 11:11:05,0,no,no,Me just waiting for the song to come up because its always in her videos 13:50 😍,view comment
Newkey Aaron,25/12/20 11:27:00,0,no,no,"1:38 I can at last now live living because of, *e  z  g  o  o  d  p  a  y . c  o  m*",view comment
Faith Baker,25/12/20 11:32:20,0,no,no,Merry Christmas nat!! ❤️🎁🎄,view comment
Eve Sikder,25/12/20 11:36:41,0,no,no,nat can you plz do “what’s on my iPhone “ PLZZZZZ,view comment
Im_ _bored,25/12/20 11:58:20,1,no,no,OMG airs 6:57 as I put this on when h said it’s 6:57 😂 I’m waiting for my fam to get up to open presents lol,view comment
Brooklynn De Jesus,25/12/20 11:58:52,0,no,no,nat and jakes love is ahead of our time 😂,view comment
Kaycee Blanco,25/12/20 11:59:56,6,no,no,"Jacob: I only want you for all christmas
Nat: 😒Out of stock 
🤣",view comment
Anthony_07P,25/12/20 12:05:31,0,no,no,Dose she know what the lawnmower 3.0 is tho,view comment
Sister Vlogs,25/12/20 12:08:04,1,no,no,Not me staying in the car vibing 🤣 for an hour lol,view comment
Sun Shine,25/12/20 12:27:51,0,no,no,Can someone tell me what song it is at 12:54,view comment
Fatima A.,25/12/20 12:43:25,2,no,no,"Kinda weird, I’m literally starting to like that Spanish music because of Nat and Jake and I have no idea what all of that means 😂✌🏼️❤️",view comment
Chris Reynoso,25/12/20 12:51:01,1,no,no,Fuck yall 🖕🖕🖕🖕🖕,view comment
Paige Smith,25/12/20 13:00:19,0,no,no,why did jakes face look like that when she said screenshot,view comment
hailey,25/12/20 13:04:21,1,no,no,nat blessing us with a 30 minute vlog😳 uhh queen😜,view comment
Dejanae,25/12/20 13:06:46,0,no,no,I wanna hear Jacob and Nath speaking Spanish for a day,view comment
Luīze Tarasova,25/12/20 13:16:16,1,no,no,Yalll so cuttttt you shud be cupl 🥺,view comment
YELENA,25/12/20 13:28:52,0,no,no,Ommgg they are made for each otherrt,view comment
Taya Osborne,25/12/20 13:38:33,0,no,no,Jacob acting surprised knowing that he watched her wrapping them and he commented on the vid!!!😭😭,view comment
Prarthna Sharma,25/12/20 13:45:32,0,no,no,Nice fit,view comment
Keidy,25/12/20 14:00:32,0,no,no,Late but merry Christmas,view comment
Kyla Fletcher,25/12/20 14:24:23,1,no,no,when is the wedding 💓,view comment
Kacey Marie,25/12/20 14:32:02,0,no,no,I stoped watching your videos for a while and you grown up so much!!! ☺️💕,view comment
Jocelyn Perales,25/12/20 14:33:07,0,no,no,Yk I just realized how much she plays music and never gets copyrighted...I'm not complaining I be vibing with her☺️,view comment
Aliyah Villarreal,25/12/20 15:03:07,1,no,no,I just finished watching jakes vid,view comment
מור אמגר,25/12/20 15:07:16,0,no,no,Does anyone know the song at 13:46 ??????,view comment
מור אמגר,01/02/46 16:09:58,0,no,no,@Olga P thank you so much!!!happy new year btw 🎊,view comment
Olga P,26/12/20 04:20:26,1,no,no,mi cuarto- jerry di,view comment
Alexandra,25/12/20 15:18:08,0,no,no,Who can't wait for vlogmas day 25!!!,view comment
Cyclo Cams,25/12/20 15:32:28,0,no,no,Natalie what’s the fuck how do you know he’s a thing is Harry ????????,view comment
Vanshita Khampa,25/12/20 15:32:33,2,no,no,Love you both whenever you're together ❤️,view comment
Alexandra,25/12/20 15:39:58,1,no,no,16:04 my hearttt 🥰😭🥺,view comment
Za'Nyra Parham,25/12/20 15:48:04,2,no,no,Merry Christmas boo 💜,view comment
Makayla Coulson,25/12/20 16:08:01,1,no,no,There’s a tag on her scarf 😂😂😂😂,view comment
Sam Steier,25/12/20 16:12:07,0,no,no,y’all all looks so good!,view comment
Alejandra Ozuna,25/12/20 16:41:13,0,no,no,Merry Christmas nat and Jake,view comment
Halii,25/12/20 16:46:46,1,no,no,No me vibing to Nats spanish songs even though I don't understand a single word 😭✋🏼,view comment
Vielka Bernardez,25/12/20 16:46:51,0,no,no,you should do a playlist 2020 cause your music is soo freaking good,view comment
Livinglifewithniyaa2x,25/12/20 16:52:43,0,no,no,It’s me vibing to the music & not knowing what the songs are saying.,view comment
Madelynn Vagg,25/12/20 16:58:51,0,no,no,Dude they are so freaking cuteeee,view comment
HIT 100K WITHOUT ANY CONTENT CHALLENGE PLEASE?,25/12/20 16:59:41,0,no,no,you should put an air freshener that you can put in front of the ac for your car to smell good,view comment
Marlene Garcia,29/12/20 06:46:04,0,no,no,Hello beautiful stranger! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ I’d really appreciate it,view comment
Marylie Haykal,25/12/20 17:18:08,2,no,no,19:10 “two??! Are you one?😏” STOP YOU GUYS🥺😭,view comment
Isabel Avila,25/12/20 17:19:11,0,no,no,Me already knowing NAthaly’s gift cs of Jacob last video and cs she wearing the jeezy’s,view comment
JONNELIZ ABREU,25/12/20 17:19:25,0,no,no,guys... we did it... 30 min clog  ... 🥺,view comment
JONNELIZ ABREU,25/12/20 17:19:35,0,no,no,Omfg VLOG LMFAOAOAOAO,view comment
Gracelyn Lor,25/12/20 17:24:26,1,no,no,You're such a good with your musiccc😭😂😂,view comment
E,25/12/20 17:30:49,0,no,no,You wish that was you huh💀,view comment
marigona kryeziu,25/12/20 17:35:56,0,no,no,what about the vans and nike air force ones jacobbb,view comment
Emely Lopez-Rodriguez,25/12/20 17:39:39,1,no,no,Merry Christmas everyone,view comment
Sajidah begum,25/12/20 17:50:27,1,no,no,Are y'all gonna see each other on New year's eve,view comment
Natalie Ortega,25/12/20 17:54:57,0,no,no,Wait but like doesn’t he know what you got him already because of your your last video and do t you know what he got you like- 😂💀,view comment
David Silva,25/12/20 17:56:20,2,no,no,What a simp😂,view comment
Vicky Cosmetics,25/12/20 17:57:09,0,no,no,Dude let me hop in the back seat I wanna jam with y’all😭,view comment
Missy A Yhome,25/12/20 18:05:54,0,no,no,The most wholesome ♥️,view comment
Alondra Avila,25/12/20 18:13:14,0,no,no,"-14:33
Jacob be like 😚😐😚😐😚😐",view comment
JR RAMIREZ,25/12/20 18:17:49,0,no,no,Drop the playlist,view comment
Adrian Valdez Meraz Morningstar 1,25/12/20 18:23:12,4,no,no,Tito like “Ssšöoooryyy”,view comment
Jeannine Alonzo,25/12/20 18:26:52,0,no,no,There literally everything I want in a relationship,view comment
Katelynn Parson,25/12/20 18:30:31,1,no,no,i got your mercy for christmas and i’m in loveeee😍,view comment
Adrian Valdez Meraz Morningstar 1,25/12/20 18:35:06,0,no,no,A birthday cakes pop 😍😚,view comment
Aalyiah's world,25/12/20 18:35:41,0,no,no,i love how jake was like 😘🥺😘🥺😘🥺🥺,view comment
Beth,25/12/20 18:39:17,0,no,no,@7:47  😏🤪,view comment
Adrian Valdez Meraz Morningstar 1,25/12/20 18:44:53,0,no,no,“ please don’t drop it “😅😅,view comment
Mary Silva,25/12/20 18:47:15,0,no,no,I swear if my relationship isn’t like this I’d just drop it 😁,view comment
Nia,25/12/20 19:01:17,1,no,no,"jake: you know how to wrap?
nat: yeah
jake: ight spit some bars then
😭💀✋🏼",view comment
Isabel malu,25/12/20 19:03:45,0,no,no,😍😘 un beso 💋,view comment
Ellie Enriquez,25/12/20 19:10:30,0,no,no,waitt did i miss something ?? are they dating yet !!,view comment
lowkeyyy_danna,25/12/20 19:11:11,0,no,no,🥺 the way jake looks at nat omggg,view comment
Olive Oil,25/12/20 19:19:11,0,no,no,Yo she looks so different from a 10 month difference!💀,view comment
Dulce’s Teen makeup,25/12/20 19:23:37,0,no,no,Pls do a Q&A Video!!!!!!!!❤️ love you nat,view comment
lowkeyyy_danna,25/12/20 19:28:37,1,no,no,"the fact that jake stopped at the part ""ahora tengo a otras que me lo hacen mejor"" DNUISNJIA SOO CUTE 🥺🥺🥺",view comment
Karla Morfin,25/12/20 19:30:16,0,no,no,“RISPUSHA” HAHAHHHAHA😭😭😂😭😭😭😭😭,view comment
Jojoba Oil,25/12/20 19:33:38,0,no,no,🥺🥺🥺🥺🥺🥺🥺🥺,view comment
Jojoba Oil,25/12/20 19:33:54,0,no,no,TOO CUTE BYE 🥺🥺,view comment
Mariana Jarillo,25/12/20 19:35:58,0,no,no,Nat we need a playlist video,view comment
Floria Joshy,25/12/20 19:38:12,1,no,no,BE CAREFFUL JACOB - wise wordds from NAt BAHHAHAHLOL,view comment
Marlene Garcia,29/12/20 06:47:37,0,no,no,Hello beautiful stranger! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ I’d really appreciate it,view comment
Alejandro,25/12/20 19:39:05,0,no,no,i’m convinced you’re on my spotify playlist 👀 😂 literally almost every song u play is on my playlist. 💀,view comment
A R,25/12/20 19:40:40,0,no,no,when nat played jb and expected jacob to not know it and he did 😭😭,view comment
fernanda weasley,25/12/20 19:44:28,0,no,no,18:48 🥺💞🦋,view comment
fernanda weasley,30/12/20 06:39:22,0,no,no,@Marlene Garcia ofc!! u have a new sub <3,view comment
Marlene Garcia,29/12/20 07:28:19,1,no,no,Hello beautiful stranger! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ you don’t have to obviously but I’d really appreciate it if you did. thank you for reading and have a nice day,view comment
Rossibel Guzman,25/12/20 19:49:48,0,no,no,Nat can you follow me on tik tok you don't have to,view comment
A R,25/12/20 19:50:16,0,no,no,“Out of stock” 😭😭😭,view comment
Génesis Santos,25/12/20 19:51:24,0,no,no,Cuteeee i subscribed and liked the vid ilysm,view comment
Briauna Crum,25/12/20 19:54:40,1,no,no,The way he looks at her 🥺,view comment
A R,25/12/20 19:56:03,1,no,no,when they were talking about the b word 😭😭😭,view comment
Lilhooper Lexi,25/12/20 19:57:53,1,no,no,I hope I get your merch for Christmas 🥺❤️♾🎄,view comment
Tamana Bhatti,25/12/20 20:04:41,0,no,no,God bless you guys🥺♥️im in a long distance relationship too i know its too hard to live soo far away from your love but it worth every mile🌏,view comment
Violeta salazar,25/12/20 20:08:58,0,no,no,Jake is your BFF or no,view comment
Violeta salazar,25/12/20 20:09:30,0,no,no,No is Jake is you bf,view comment
Violeta salazar,25/12/20 20:13:57,0,no,no,I live bye the target and best buy,view comment
I AmLeena,25/12/20 20:15:33,0,no,no,The way Jacob just looks at her and SMILES 🥺,view comment
guadalupe solis,25/12/20 20:17:05,0,no,no,Girl we both have the same,view comment
Helen Juarez Arias,25/12/20 20:28:16,3,no,no,14:27 THE WAY HE LOOKS AT HER AHH,view comment
Marlene Garcia,30/12/20 08:57:13,0,no,no,"Hello beautiful person! I know you probably don’t care about me or who I am but..i was wondering if you can help your girl out and check my small channel❤️ you don’t have to obviously but I’d really appreciate it if you did. Anyways, thank you for reading and have a nice day",view comment
Kassandra Sarzoza,25/12/20 20:29:41,0,no,no,14:17 nat vibing  while Jake wants a kiss😂 (hey Alexa play heart been broke so many times),view comment
Yarelli Moratin,25/12/20 20:32:30,0,no,no,Nathaly just wanna Jake carry her like bruh,view comment
Jorge Garcia,25/12/20 20:52:15,0,no,no,Use purple shampoo and conditioner for your blond hair,view comment
Nallely Ramirez,25/12/20 20:52:45,0,no,no,""" She has like some witchcraft to curl hair "" 😂 Iluvyouuu <3 🥰",view comment
Keira Beck,25/12/20 20:58:15,0,no,no,MY FAVORITES!!,view comment
Yeya Mtz,25/12/20 21:01:21,1,no,no,His laugh is everything lmao❤ y'all are my favorite couple😭🥰❤,view comment
Jocelyn Tapia,25/12/20 21:02:02,14,no,no,Bro the way Jacob was looking at her at 14:29 I want someone to look at me like that😭,view comment
Nallely Ramirez,25/12/20 21:05:37,0,no,no,So we're just gonna ignore the way he was staring at her 😂,view comment
Gia Lira,25/12/20 21:15:32,0,no,no,Are they dating,view comment
Adriana Ramirez,25/12/20 21:19:44,1,no,no,My fave ✨couple of besties✨,view comment
Crystal Arias Vlogs,25/12/20 21:28:22,0,no,no,Bro she went to Starbucks THREE TIMES???? 😭😭😭😂😂😂 omg se va empachar lol,view comment
Andreya Calderon,25/12/20 21:31:15,0,no,no,Me Cleaning my room and watching this at the same time 😂😂,view comment
Jasmine Aryana,25/12/20 21:35:37,0,no,no,"I love that Nathaly stayed through the WHOLE ENTIRE vlogmas, I’m proud ❤️👏🏼",view comment
Jasmin Ceron,25/12/20 21:40:02,0,no,no,Dang I hope y’all have fun with your family and Jacob be safe pls,view comment
Jessica W.,25/12/20 21:45:44,0,no,no,Can we take a moment to appreciate how much good content Nathaly has put out for us all December and all of the hard work. She does so much for us.,view comment
